,Brand,Engine Size,Fuel Type,Transmission,Mileage,Condition,Price,Model,Car_Age
97,Mercedes,3.5,Hybrid,Manual,32543,Used,15118.61,E-Class,19
98,Tesla,5.6,Hybrid,Automatic,124279,Like New,17098.13,Model 3,5
99,Tesla,1.5,Petrol,Automatic,29362,Like New,90915.8,Model 3,11
100,Mercedes,4.8,Petrol,Automatic,158818,Like New,54955.72,GLA,25
101,Tesla,3.0,Electric,Manual,242721,Like New,80199.63,Model S,14
102,BMW,4.3,Hybrid,Automatic,165229,Like New,15952.67,X5,19
103,Toyota,2.3,Diesel,Manual,142394,Used,93126.06,Camry,11
104,Mercedes,1.8,Petrol,Manual,69812,Used,83008.5,GLC,5
105,Audi,1.8,Hybrid,Manual,296161,Used,26352.59,A4,7
106,Audi,1.4,Electric,Manual,228208,Used,88047.31,Q7,25
107,Honda,1.9,Diesel,Manual,279773,New,30027.06,Accord,9
108,Tesla,4.3,Electric,Manual,128614,Used,24507.29,Model 3,9
109,Audi,5.4,Petrol,Automatic,96950,New,30103.17,Q5,23
110,Honda,5.1,Hybrid,Automatic,174942,Used,91445.73,Accord,14
111,Toyota,4.4,Hybrid,Automatic,64829,Like New,91981.24,Camry,20
112,BMW,1.6,Hybrid,Automatic,245602,Like New,36254.6,X5,15
113,BMW,2.4,Hybrid,Manual,10588,Like New,72016.25,3 Series,23
114,BMW,2.5,Diesel,Manual,168217,New,69195.8,5 Series,18
115,Audi,2.2,Diesel,Automatic,272743,Used,81623.45,A3,12
116,Toyota,3.6,Electric,Automatic,208502,Used,33168.4,Camry,12
117,Audi,3.7,Diesel,Automatic,134011,New,53463.16,Q5,16
118,Tesla,2.8,Petrol,Automatic,252856,New,68429.03,Model 3,24
119,Audi,2.8,Petrol,Automatic,284293,New,7494.4,Q5,12
120,Toyota,5.1,Hybrid,Automatic,197639,New,40790.18,Camry,17
121,Toyota,4.9,Petrol,Automatic,141280,New,71109.39,Prius,23
122,Tesla,2.5,Electric,Automatic,197170,Like New,28996.53,Model S,5
123,Toyota,5.6,Diesel,Manual,180564,Used,95981.89,Corolla,18
124,Toyota,5.8,Diesel,Manual,20951,New,7865.33,Corolla,10
125,BMW,2.6,Diesel,Manual,179992,Like New,96018.28,X3,24
126,Tesla,2.8,Petrol,Manual,46766,New,25592.57,Model X,20
127,Ford,3.5,Diesel,Automatic,159423,Like New,9638.09,Mustang,5
128,Ford,5.7,Hybrid,Manual,87122,New,32785.03,Explorer,14
129,Toyota,5.4,Hybrid,Automatic,271452,Used,79696.82,Corolla,21
130,Ford,1.5,Hybrid,Manual,83211,New,76481.99,Explorer,24
131,Ford,3.0,Petrol,Automatic,126534,New,24839.84,Focus,10
132,Toyota,3.8,Diesel,Automatic,8720,Used,23695.06,RAV4,21
133,Ford,3.5,Petrol,Manual,79993,Used,66045.09,Focus,11
134,Audi,2.0,Diesel,Manual,219973,New,48517.86,Q5,14
135,Honda,5.3,Electric,Automatic,25905,Used,80267.55,Accord,22
136,Tesla,4.4,Electric,Automatic,204580,Used,7292.61,Model 3,11
137,Honda,5.2,Petrol,Automatic,50385,Like New,62989.13,Accord,15
138,Toyota,5.3,Hybrid,Manual,30653,Used,74413.84,Corolla,10
139,BMW,4.7,Petrol,Manual,91865,Used,99371.68,3 Series,3
140,Tesla,3.2,Hybrid,Automatic,125813,New,69484.26,Model 3,20
141,Toyota,4.1,Diesel,Manual,145871,New,27025.29,Prius,12
142,BMW,1.8,Hybrid,Automatic,191175,Like New,15277.69,5 Series,8
143,Honda,4.4,Hybrid,Manual,248535,New,65887.09,Fit,14
144,Toyota,1.9,Diesel,Manual,15052,Used,54702.39,Camry,15
145,Tesla,4.5,Electric,Manual,137116,Used,90418.8,Model Y,13
146,Tesla,2.1,Diesel,Manual,150943,Used,74027.76,Model 3,5
147,Mercedes,1.6,Petrol,Manual,220375,New,53425.53,E-Class,3
148,Audi,1.8,Petrol,Automatic,21381,Used,43341.0,Q7,15
149,Ford,1.0,Petrol,Automatic,148346,Used,43415.6,Focus,3
150,BMW,4.6,Petrol,Manual,243234,Like New,26498.91,3 Series,10
151,Mercedes,4.7,Petrol,Automatic,256017,Like New,6645.97,GLA,11
152,Ford,3.6,Electric,Automatic,235020,Like New,59616.51,Mustang,5
153,Ford,1.8,Electric,Manual,49892,New,25179.4,Mustang,11
154,Toyota,1.4,Hybrid,Automatic,181593,Used,24791.06,Camry,22
155,Ford,1.1,Petrol,Manual,214992,Used,16911.22,Mustang,15
156,Audi,1.8,Diesel,Automatic,280064,Used,23011.57,A3,7
157,Tesla,5.5,Petrol,Automatic,278846,Like New,8019.97,Model 3,11
158,Mercedes,2.2,Electric,Automatic,256216,Used,69051.99,C-Class,22
159,Ford,2.8,Petrol,Automatic,264038,Used,43132.73,Fiesta,5
160,Toyota,1.5,Electric,Automatic,293129,Used,58344.84,Camry,13
161,Audi,2.1,Hybrid,Automatic,159359,Used,65510.97,A4,4
162,Honda,3.6,Hybrid,Automatic,258771,Used,97386.03,Civic,7
163,Tesla,4.0,Hybrid,Manual,125702,New,11485.26,Model Y,24
164,Tesla,2.2,Electric,Manual,73527,Used,44702.18,Model 3,12
165,Mercedes,1.3,Petrol,Manual,146511,New,28360.3,E-Class,22
166,Tesla,3.0,Petrol,Manual,225692,Used,50287.63,Model Y,10
167,Ford,2.2,Diesel,Automatic,158731,New,92444.87,Explorer,5
168,Toyota,2.1,Electric,Automatic,287120,Used,73778.51,Corolla,6
169,Tesla,5.8,Diesel,Automatic,235311,Used,67885.21,Model Y,12
170,Tesla,4.1,Hybrid,Manual,198937,Used,46918.36,Model S,11
171,Honda,3.8,Petrol,Manual,199378,Used,68755.69,CR-V,23
172,Honda,3.1,Electric,Manual,56697,Like New,8075.66,CR-V,18
173,BMW,3.1,Diesel,Automatic,70382,Used,60692.67,X3,10
174,Audi,3.7,Diesel,Manual,278795,New,57608.77,A3,16
175,Ford,4.5,Diesel,Automatic,180116,Like New,37930.84,Fiesta,22
176,Tesla,4.5,Petrol,Manual,14633,Like New,24143.84,Model 3,8
177,Tesla,1.9,Petrol,Automatic,79164,Used,81717.78,Model S,24
178,Toyota,3.5,Petrol,Manual,262713,New,10116.9,Prius,9
179,BMW,3.1,Electric,Automatic,123425,New,11618.92,X5,13
180,Audi,5.4,Petrol,Manual,250220,Like New,46849.57,Q7,22
181,BMW,4.2,Electric,Manual,295182,New,28992.68,5 Series,15
182,Mercedes,3.7,Diesel,Automatic,180160,Used,75817.98,GLA,19
183,Audi,1.6,Diesel,Automatic,204249,Used,65248.06,Q7,14
184,Tesla,4.0,Hybrid,Manual,205538,Used,78390.81,Model Y,16
185,Tesla,1.6,Petrol,Automatic,197865,Used,35844.5,Model X,19
186,Audi,2.7,Diesel,Manual,201466,Used,75349.3,A4,13
187,Tesla,1.7,Petrol,Automatic,187223,Like New,86918.81,Model Y,19
188,Ford,4.5,Electric,Manual,111174,Used,37801.08,Fiesta,2
189,Audi,2.0,Diesel,Automatic,137980,Used,37290.1,Q5,9
190,BMW,3.0,Petrol,Manual,68447,Like New,90495.38,X3,16
191,Audi,5.5,Diesel,Manual,205599,Like New,9730.07,Q5,16
192,Tesla,2.0,Diesel,Manual,226301,Like New,38267.99,Model X,2
193,Ford,3.5,Petrol,Automatic,279778,New,16273.89,Fiesta,22
194,Ford,3.1,Diesel,Manual,286705,New,7753.16,Fiesta,6
195,Mercedes,1.1,Diesel,Automatic,55063,Used,15722.59,GLA,22
196,BMW,5.0,Diesel,Automatic,288065,Used,45968.35,X3,4
197,Honda,1.3,Diesel,Automatic,19340,Used,70260.83,Accord,19
198,Honda,3.4,Electric,Manual,62781,New,32481.83,CR-V,4
199,Audi,3.8,Diesel,Automatic,277045,Used,85719.15,Q5,25
200,Mercedes,4.1,Hybrid,Automatic,10638,Used,46573.48,GLA,14
201,Toyota,4.4,Diesel,Automatic,217986,New,96981.66,Prius,2
202,Audi,2.3,Petrol,Manual,221668,Like New,95644.79,A3,13
203,Mercedes,1.0,Hybrid,Automatic,294786,New,78461.24,GLC,16
204,BMW,4.6,Electric,Automatic,25378,Used,93578.52,3 Series,11
205,BMW,3.7,Hybrid,Automatic,118171,New,72174.13,X3,13
206,BMW,5.2,Hybrid,Automatic,214801,Like New,90080.4,X3,3
207,BMW,5.1,Hybrid,Manual,64377,Like New,27465.0,3 Series,4
208,BMW,5.2,Petrol,Manual,260339,Like New,37814.92,X5,4
209,Mercedes,3.4,Petrol,Automatic,54691,Like New,76528.36,C-Class,5
210,Mercedes,2.7,Petrol,Automatic,91782,Like New,45333.32,E-Class,4
211,Ford,5.0,Electric,Automatic,259896,Like New,84546.11,Focus,17
212,Honda,3.3,Petrol,Automatic,78343,Used,88375.69,Fit,17
213,Tesla,1.9,Petrol,Manual,121399,Used,33474.3,Model S,11
214,BMW,5.3,Hybrid,Manual,31357,New,83227.83,5 Series,16
215,Toyota,5.4,Petrol,Manual,294458,Used,19655.11,Corolla,2
216,Tesla,3.3,Diesel,Manual,70283,Like New,36748.69,Model Y,16
217,Mercedes,1.4,Petrol,Automatic,59567,Used,54206.67,C-Class,18
218,Toyota,2.9,Electric,Automatic,237778,New,26512.16,Prius,2
219,Toyota,5.0,Electric,Manual,141758,Like New,60030.44,Prius,10
220,Toyota,5.5,Diesel,Manual,61606,Used,59976.03,RAV4,9
221,Ford,2.0,Electric,Automatic,281035,Used,24655.78,Fiesta,21
222,Mercedes,1.3,Electric,Automatic,101732,New,80585.93,GLA,22
223,Toyota,5.4,Hybrid,Automatic,191791,Like New,65006.23,RAV4,8
224,BMW,2.9,Diesel,Automatic,292021,New,35187.25,X3,2
225,Audi,3.7,Hybrid,Automatic,249465,Like New,27057.55,A4,7
226,Toyota,5.8,Hybrid,Manual,224589,Like New,88481.26,Corolla,22
227,Ford,1.3,Petrol,Manual,14026,Used,84395.51,Fiesta,19
228,Tesla,4.2,Diesel,Automatic,282566,New,26827.26,Model Y,16
229,Mercedes,1.4,Petrol,Automatic,295625,New,8382.5,GLC,8
230,Ford,2.9,Petrol,Manual,109384,New,81430.6,Explorer,7
231,Toyota,5.0,Hybrid,Automatic,252771,Like New,63473.31,Corolla,22
232,Mercedes,3.2,Electric,Manual,58031,New,14583.79,C-Class,16
233,Audi,6.0,Diesel,Manual,68232,Like New,60799.03,A3,25
234,Toyota,3.8,Electric,Manual,143084,New,47957.36,Camry,3
235,Ford,2.6,Hybrid,Manual,236503,New,78582.28,Focus,8
236,Honda,2.1,Hybrid,Automatic,292104,Used,24863.06,Fit,21
237,BMW,2.8,Hybrid,Automatic,87695,New,48049.89,X3,11
238,Tesla,2.9,Hybrid,Manual,130066,Used,19843.19,Model X,9
239,Ford,1.3,Hybrid,Automatic,138982,Used,95965.09,Fiesta,23
240,Mercedes,2.8,Hybrid,Automatic,264837,Like New,78980.12,GLA,14
241,Toyota,3.3,Electric,Automatic,115313,New,74988.63,Corolla,24
242,BMW,4.6,Petrol,Automatic,28810,New,70569.63,3 Series,25
243,Toyota,4.3,Electric,Manual,20092,New,45216.96,Prius,3
244,Mercedes,4.5,Diesel,Automatic,58105,Used,92711.83,C-Class,5
245,Toyota,1.0,Electric,Manual,161577,New,11927.12,RAV4,9
246,Honda,2.1,Hybrid,Manual,204300,Like New,81309.61,Civic,4
247,BMW,4.3,Electric,Automatic,290699,Like New,25447.11,3 Series,10
248,BMW,3.4,Petrol,Manual,71934,New,35782.66,X3,21
249,Mercedes,1.0,Diesel,Automatic,72788,Used,54345.82,GLA,11
250,Tesla,5.0,Electric,Automatic,280083,Like New,79352.23,Model S,23
251,Honda,4.9,Petrol,Manual,155223,Like New,84660.82,CR-V,19
252,Ford,3.7,Electric,Automatic,128068,Used,60454.56,Explorer,15
253,Toyota,1.3,Diesel,Manual,36,Like New,43288.37,Camry,16
254,Audi,4.8,Electric,Manual,39051,Used,94917.73,Q5,17
255,Toyota,3.9,Hybrid,Automatic,80738,Like New,28419.52,Camry,12
256,Toyota,4.9,Electric,Automatic,60071,Used,81293.98,Camry,13
257,Ford,4.8,Petrol,Automatic,130613,Like New,63144.71,Focus,24
258,Toyota,5.0,Electric,Manual,73601,New,40805.03,Camry,23
259,Honda,3.6,Petrol,Automatic,29873,Like New,5129.96,Civic,19
260,Honda,1.7,Diesel,Manual,167720,Like New,47426.93,Fit,5
261,BMW,4.4,Electric,Manual,71468,New,31288.4,X3,8
262,Mercedes,4.1,Diesel,Automatic,288614,New,14912.93,E-Class,23
263,Tesla,4.7,Diesel,Automatic,196201,New,12140.06,Model 3,16
264,Audi,1.8,Electric,Automatic,8328,New,38018.04,A3,4
265,Toyota,2.0,Petrol,Manual,137405,Used,63401.95,Camry,19
266,Toyota,5.5,Diesel,Automatic,251519,Used,84564.33,Prius,17
267,Ford,4.7,Diesel,Manual,121173,Like New,22438.51,Focus,9
268,Mercedes,5.5,Electric,Automatic,46638,Like New,45341.18,GLC,15
269,Honda,4.8,Electric,Automatic,273412,Like New,42235.83,Accord,19
270,Audi,4.0,Electric,Manual,201675,Used,53772.43,A4,2
271,BMW,4.3,Electric,Manual,113920,Like New,81910.79,5 Series,12
272,Honda,5.4,Electric,Automatic,171813,Like New,57596.3,CR-V,7
273,Mercedes,3.9,Hybrid,Automatic,7887,Used,85432.22,E-Class,22
274,Tesla,4.2,Electric,Automatic,228978,Like New,54262.42,Model S,20
275,BMW,1.8,Petrol,Automatic,24918,Used,62365.5,5 Series,16
276,Tesla,3.4,Diesel,Automatic,297641,Used,46551.41,Model X,19
277,Ford,4.6,Petrol,Manual,192081,New,83194.08,Fiesta,13
278,Ford,2.4,Petrol,Manual,274073,New,92763.58,Explorer,12
279,Toyota,2.0,Hybrid,Manual,102201,Used,65718.75,Corolla,22
280,Tesla,2.6,Electric,Manual,210171,Used,82974.33,Model X,18
281,Mercedes,2.2,Diesel,Automatic,290690,New,10605.32,E-Class,21
282,Audi,2.1,Petrol,Manual,209496,Like New,91080.62,Q7,25
283,BMW,3.1,Electric,Manual,168410,Like New,22947.88,5 Series,22
284,Honda,5.5,Electric,Manual,82494,Like New,29369.44,CR-V,23
285,Mercedes,3.5,Hybrid,Automatic,215859,Used,10066.36,GLA,17
286,Mercedes,1.9,Hybrid,Manual,233853,New,96713.01,GLA,18
287,Ford,1.4,Hybrid,Automatic,128279,Like New,85941.03,Fiesta,25
288,Tesla,4.5,Diesel,Manual,81991,New,91752.54,Model S,20
289,Toyota,2.9,Petrol,Automatic,290157,New,85485.54,Camry,17
290,Toyota,5.1,Hybrid,Manual,52132,Used,50555.4,Camry,19
291,BMW,4.3,Hybrid,Automatic,255069,Like New,92787.78,3 Series,22
292,Ford,5.0,Hybrid,Manual,159156,New,97099.92,Explorer,13
293,Mercedes,2.4,Petrol,Automatic,152215,Used,52743.86,E-Class,9
294,Audi,4.5,Petrol,Automatic,91627,Used,21684.35,A4,24
295,Ford,2.3,Hybrid,Manual,122772,Used,67569.14,Focus,21
296,BMW,5.7,Hybrid,Automatic,229415,Like New,97666.64,5 Series,14
297,BMW,4.2,Electric,Automatic,141294,Like New,87853.95,X5,5
298,Ford,2.6,Hybrid,Manual,259013,Used,86872.44,Focus,18
299,BMW,2.3,Diesel,Manual,16116,Like New,93712.71,5 Series,20
300,Ford,2.0,Diesel,Automatic,182124,Like New,89925.46,Mustang,18
301,Honda,4.5,Hybrid,Manual,51369,New,78746.76,Accord,8
302,Ford,2.1,Petrol,Manual,179889,Used,73235.92,Explorer,23
303,Tesla,4.0,Electric,Manual,233982,Used,30152.88,Model 3,4
304,Ford,2.3,Petrol,Automatic,214275,Like New,64027.3,Explorer,14
305,BMW,4.3,Hybrid,Automatic,205383,Used,54541.42,X3,23
306,Tesla,5.1,Diesel,Automatic,291799,Used,86884.69,Model Y,4
307,BMW,4.9,Electric,Automatic,188874,Used,51712.69,X5,20
308,Toyota,4.8,Petrol,Automatic,47632,Like New,17135.56,Prius,24
309,Toyota,1.9,Petrol,Automatic,211284,Like New,5472.39,Prius,3
310,Tesla,1.4,Hybrid,Automatic,161848,Like New,69397.95,Model S,14
311,Honda,4.5,Electric,Manual,191082,New,57241.3,Civic,24
312,Toyota,2.8,Diesel,Automatic,213807,Used,36441.48,RAV4,20
313,Ford,3.2,Hybrid,Automatic,196523,New,21052.35,Focus,9
314,BMW,1.2,Electric,Manual,179884,Like New,49337.96,5 Series,23
315,Toyota,2.3,Petrol,Manual,281039,New,14527.21,Corolla,24
316,Toyota,1.2,Hybrid,Manual,235892,Used,36930.31,Corolla,3
317,Honda,5.4,Petrol,Automatic,213408,Used,41025.13,Fit,6
318,Tesla,2.2,Petrol,Manual,242718,Like New,49233.78,Model X,18
319,Tesla,3.8,Hybrid,Automatic,192879,Like New,49328.97,Model X,4
320,Mercedes,1.2,Hybrid,Automatic,23086,New,29415.54,C-Class,14
321,Honda,4.3,Hybrid,Automatic,85637,Like New,85770.04,Fit,22
322,Ford,2.6,Hybrid,Manual,158279,New,38776.63,Fiesta,21
323,Tesla,5.5,Hybrid,Manual,151969,Used,26810.79,Model S,13
324,BMW,5.4,Petrol,Automatic,63083,Used,21701.94,X3,11
325,Honda,2.6,Diesel,Automatic,95028,Used,35644.95,Accord,3
326,Toyota,5.5,Diesel,Automatic,97551,Used,11417.52,RAV4,10
327,BMW,6.0,Hybrid,Manual,138355,Used,8126.21,5 Series,16
328,BMW,5.1,Petrol,Automatic,94024,New,62488.51,5 Series,3
329,Toyota,5.2,Diesel,Manual,262399,Used,63818.98,RAV4,10
330,Honda,2.2,Diesel,Automatic,207627,New,55310.88,Civic,14
331,Toyota,3.9,Diesel,Manual,15487,Used,77417.09,Corolla,9
332,Mercedes,1.3,Petrol,Automatic,19346,New,8719.3,GLC,10
333,BMW,1.5,Hybrid,Manual,297194,New,93917.45,5 Series,14
334,Audi,6.0,Hybrid,Manual,270888,New,14031.19,Q7,18
335,Audi,2.6,Hybrid,Manual,61596,Like New,69032.18,A4,6
336,Ford,4.7,Electric,Manual,214469,New,17672.68,Mustang,23
337,Tesla,5.0,Electric,Manual,177175,New,88591.02,Model Y,10
338,Toyota,5.3,Electric,Manual,153048,Used,53517.76,Prius,13
339,Toyota,6.0,Petrol,Automatic,6277,New,12817.89,RAV4,3
340,Ford,2.2,Diesel,Automatic,133332,New,63588.79,Fiesta,7
341,Ford,1.2,Diesel,Automatic,240515,Like New,5865.44,Fiesta,18
342,Ford,3.1,Petrol,Automatic,260577,Used,78722.11,Mustang,4
343,BMW,1.7,Petrol,Manual,196955,Like New,66805.57,X5,21
344,Mercedes,1.1,Hybrid,Automatic,286885,Like New,25199.35,E-Class,6
345,Toyota,2.8,Hybrid,Manual,299355,Like New,40601.34,Camry,18
346,BMW,4.9,Electric,Manual,240464,New,5741.64,X5,2
347,Ford,3.8,Electric,Manual,258445,Like New,70899.96,Focus,14
348,Toyota,2.6,Petrol,Automatic,269013,Like New,35653.47,Corolla,25
349,BMW,4.3,Electric,Manual,94515,Used,59300.95,3 Series,5
350,Mercedes,2.2,Diesel,Automatic,150494,Used,95889.12,GLC,6
351,BMW,1.1,Petrol,Automatic,166685,Used,33449.34,X5,20
352,Mercedes,4.8,Petrol,Automatic,188088,Used,99072.6,C-Class,4
353,Ford,4.1,Diesel,Automatic,60110,Like New,65109.2,Focus,8
354,Mercedes,4.8,Hybrid,Automatic,219601,Used,27998.42,GLA,18
355,Toyota,1.2,Hybrid,Manual,208994,New,46493.9,Camry,19
356,Ford,5.2,Diesel,Manual,296177,Like New,75343.05,Mustang,25
357,Toyota,4.1,Diesel,Automatic,260705,Used,47415.4,RAV4,5
358,Audi,3.8,Electric,Manual,12938,Like New,11508.22,A4,10
359,Honda,4.1,Petrol,Automatic,130842,Used,21017.35,Accord,14
360,Mercedes,5.3,Electric,Manual,264418,Like New,80173.29,C-Class,20
361,Honda,3.9,Diesel,Manual,150033,Used,66595.44,Civic,6
362,Honda,3.9,Electric,Manual,20044,New,59133.42,Accord,24
363,Mercedes,6.0,Diesel,Manual,99372,Used,20924.09,E-Class,12
364,Ford,4.8,Electric,Manual,276850,Like New,84586.96,Fiesta,22
365,Audi,3.2,Electric,Manual,137046,Like New,96270.31,Q7,25
366,Toyota,4.5,Hybrid,Manual,21213,New,8884.27,Prius,3
367,BMW,2.9,Diesel,Manual,1950,Like New,12413.03,X3,8
368,Toyota,2.1,Electric,Manual,254043,New,89048.83,RAV4,13
369,BMW,4.0,Petrol,Manual,216085,Like New,82477.46,X5,24
370,Toyota,5.6,Electric,Manual,272555,Like New,63703.77,Prius,17
